,0
sleeping,10
actual,10
black,10
worried,10
sentence,10
lets,10
para,10
likely,10
face,10
driving,10
boom,10
hair,10
gone,10
lady,9
per,9
post,9
notes,9
please,9
delete,9
white,9
busy,9
appointment,9
harder,9
plus,9
mi,9
questions,9
corny,9
earlier,9
annoying,9
couch,9
lo,9
shes,9
shows,9
ah,9
film,9
jobs,9
knows,9
city,9
explain,9
expensive,9
sell,9
tips,9
agree,9
shower,9
smoke,9
rules,9
weed,9
click,9
hes,9
full,9
looked,9
everywhere,9
es,9
shy,9
halfway,9
nah,9
strong,9
lunch,9
websites,9
left,9
honest,9
humans,9
staying,9
turn,9
special,9
trip,9
screen,9
basic,9
meant,8
messaged,8
lives,8
road,8
process,8
surprise,8
tonight,8
girl,8
board,8
completely,8
pancakes,8
avocados,8
realize,8
language,8
wherever,8
sit,8
taken,8
brought,8
respond,8
mood,8
town,8
dumb,8
knowing,8
ooh,8
dancing,8
sitting,8
notebook,8
seeing,8
movies,8
mess,8
legs,8
wearing,8
charge,8
stupid,8
kinds,8
flight,8
passed,8
embarrass,8
children,8
helping,8
business,8
con,8
drink,8
eh,8
noticed,8
clips,8
sign,8
playing,7
brother,7
frustrating,7
loud,7
push,7
run,7
pass,7
federal,7
nature,7
plans,7
shell,7
practicing,7
loves,7
understood,7
income,7
problems,7
decide,7
dark,7
rent,7
boys,7
land,7
falling,7
hearing,7
built,7
speaks,7
improve,7
languages,7
attitude,7
translator,7
example,7
awesome,7
anywhere,7
project,7
details,7
tricks,7
beaches,7
win,7
contract,7
brain,7
set,7
future,7
changed,7
houses,7
adobe,7
water,7
promise,7
straight,7
starts,7
shift,7
quite,7
topic,7
stayed,7
putting,7
awake,7
bigger,7
sore,7
ass,7
eating,7
conversation,7
email,7
chance,7
minute,7
moment,7
spots,7
hey,7
added,7
someday,7
break,7
wild,7
camera,7
detail,7
wants,7
share,7
mini,7
blah,7
older,6
uses,6
contact,6
finding,6
baby,6
during,6
technology,6
against,6
mix,6
housing,6
huge,6
remote,6
kept,6
hilarious,6
adding,6
moving,6
suppose,6
care,6
fucked,6
instantly,6
disconnected,6
energy,6
closer,6
affection,6
goal,6
download,6
kangaroo,6
front,6
trust,6
opposite,6
protest,6
rich,6
picking,6
imagined,6
insane,6
wrote,6
judging,6
gotten,6
weekend,6
translate,6
doubt,6
biggie,6
number,6
accident,6
hands,6
running,6
faster,6
ear,6
suck,6
choose,6
memes,6
recently,6
boss,6
viral,6
items,6
vibe,6
roll,6
en,6
pulled,6
grow,6
courses,6
ate,6
join,6
colors,6
main,6
programming,6
arm,6
shut,6
sometime,6
evening,6
strangers,6
enjoyed,6
younger,6
relationships,6
police,6
helped,6
waking,6
button,6
laying,6
listened,6
confident,6
communicate,6
color,6
keeps,6
tan,6
yang,6
likes,6
model,6
wow,6
hold,6
lay,6
laughing,6
picked,6
vibes,6
skated,5
wonderful,5
dreams,5
pants,5
cost,5
rather,5
news,5
aah,5
catch,5
communication,5
meme,5
shitty,5
ridiculous,5
dudes,5
expecting,5
value,5
curls,5
media,5
worse,5
rail,5
countries,5
smart,5
table,5
tied,5
border,5
thoughts,5
government,5
reasonable,5
quality,5
pearl,5
affectionate,5
stoned,5
personality,5
others,5
cleaning,5
chin,5
matters,5
allowed,5
complete,5
directly,5
choice,5
shop,5
cut,5
